"Year","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
"2018",9818.792551,270.425276,6170.556431,"60%","2%","38%"
"2019",10230.839456,397.760233,5373.316936,"64%","2%","34%"
"2020",12640.081782,1123.281011,5813.128026,"65%","6%","30%"
"2021",12004.03,805.78,6560.14,"62%","4%","34%"
"2022",13715.159092,751.23967,7831.11676,"62%","3%","35%"
