"Year","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
"2018",2043.989086,1434.091,1092.098625,"45%","31%","24%"
"2019",2162.71565,1705.053865,1133.951882,"43%","34%","23%"
"2020",2243.931924,1789.970585,1382.442932,"41%","33%","26%"
"2021",1980.2,1538.14,1181.58,"42%","33%","25%"
"2022",2339.080481,1494.895065,966.433327,"49%","31%","20%"
