"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",18135.141829,0,0
"2019",16766.277946,0,0
"2020",22306.570796,0,0
"2021",20639.08,0,0
"2022",29219.765287,0,0
