"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",3476.719164,0,0
"2019",3319.688883,0,0
"2020",3300.783815,0,0
"2021",3546.44,0,0
"2022",3121.09254,0,0
