"Year","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
"2018",16646.094735,4188.475374,379.861223,"78%","20%","2%"
"2019",15205.723379,4254.462481,387.686839,"77%","21%","2%"
"2020",20689.102897,4712.192353,265.84537,"81%","18%","1%"
"2021",18950.6,5142.17,34.09,"79%","21%","0%"
"2022",25975.318936,6863.934908,17.908835,"79%","21%","0%"
