year,ODA to Education as % of Total ODA,Bilateral funding,Bilateral as earmarked funding through multilaterals,Multilateral as core contributions to organizations,Earmarked,Bilateral,Multilateral,Donor
2019,4.93,1.97,0.01,16.73,0.06,9.79,90.15,Greece
2020,5.4,0.03,0.0,17.8,0.0,0.15,99.85,Greece
2021,5.2,1.89,0.0,15.21,0.0,10.26,89.74,Greece
2022,5.4,1.89,0.0,17.73,0.0,8.95,91.05,Greece
2023,6.07,1.67,0.0,17.16,0.0,8.21,91.79,Greece
