donor,year,Bilateral as earmarked funding through multilaterals,Bilateral funding,Multilateral as core contributions to organizations,Earmarked,Bilateral,Multilateral,Sector ODA,ODA to Education as % of Total ODA
Lithuania,2019,0.0,5.082347396768403,5.621899999999998,0.0,50.17651669874116,49.82348330125884,11.283635,14.034749816335227
Lithuania,2020,0.0,3.6870924596050263,5.5787,0.0,42.405220830918786,57.59477916908121,9.686121,11.741909981455265
Lithuania,2021,0.0,7.959630161579887,5.087300000000001,0.0,63.54321039321992,36.45678960678008,13.954327999999995,15.592362429408613
Lithuania,2022,0.0,7.556163375224418,7.450400000000003,0.0,53.04754245125052,46.95245754874947,15.867966000000006,6.523047767820442
Lithuania,2023,0.0,15.080770197486533,6.324600000000001,0.0,72.64987927563477,27.350120724365226,23.124578,12.070592073267434
