"","Year","FLN","Percent_FLN"
"1","2017",373.056595,0.217243809848982
"2","2018",449.467397,0.259319853711923
"3","2019",462.588267,0.310733003462382
"4","2020",364.533264,0.272846857543029
"5","2021",307.61322,0.23864887037045
