"","Year","% of Bilaterla ODA","Bilateral ODA to WASH"
"1",2017,30.7540986599481,673.81
"2",2018,33.4216907943773,636.73
"3",2019,29.0885595488486,537.99
"4",2020,19.1993432675321,399.93
"5",2021,20.4650004463929,435.53
