"","Year","% of Bilateral ODA","Bilateral ODA to WASH"
"1",2017,13.191961048888,536.74
"2",2018,14.9013605883345,574.44
"3",2019,15.1638716492803,574.18
"4",2020,12.849850800687,535.7
"5",2021,11.8497158932312,488.2
