"","Year","% of Bilaterla ODA","Bilateral ODA to WASH"
"1",2017,27.5425320667633,461.88
"2",2018,26.1608902351311,447.38
"3",2019,22.8028230534035,396.76
"4",2020,18.58887503839,411.58
"5",2021,19.5310379274026,359.75
