"","Year","% of Bilaterla ODA","Bilateral ODA to WASH"
"1",2017,7.73020137419462,162.57
"2",2018,8.32828298937833,182.77
"3",2019,6.10085191889334,146.95
"4",2020,4.35759618596459,86.1
"5",2021,4.40038911811076,65.59
